InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
571117,23074,EMBOSSED HEART TRINKET BOX,6,13-10-2011 17:51,2.08,16224,United Kingdom,12.48
578278,22197,POPCORN HOLDER,10,23-11-2011 13:51,0.85,12748,United Kingdom,8.5
567186,22625,RED KITCHEN SCALES,1,18-09-2011 16:04,8.5,17073,United Kingdom,8.5
577337,22791,T-LIGHT GLASS FLUTED ANTIQUE,1,18-11-2011 14:51,1.25,15494,United Kingdom,1.25
571441,22029,SPACEBOY BIRTHDAY CARD,1,17-10-2011 13:31,0.83,14096,United Kingdom,0.83
576370,23205,CHARLOTTE BAG VINTAGE ALPHABET ,20,15-11-2011 08:00,0.85,15981,United Kingdom,17
573340,22609,PENS ASSORTED SPACEBALL,36,30-10-2011 11:55,0.19,14159,United Kingdom,6.84
580320,22385,JUMBO BAG SPACEBOY DESIGN,10,02-12-2011 15:40,2.08,15078,United Kingdom,20.8
568894,23206,LUNCH BAG APPLE DESIGN,1,29-09-2011 13:04,1.65,17528,United Kingdom,1.65
579067,84879,ASSORTED COLOUR BIRD ORNAMENT,16,28-11-2011 10:31,1.69,14470,United Kingdom,27.04
565756,21169,YOU'RE CONFUSING ME METAL SIGN ,36,06-09-2011 13:20,1.69,18230,United Kingdom,60.84
577603,85015,SET OF 12  VINTAGE POSTCARD SET,24,21-11-2011 08:40,0.65,15500,United Kingdom,15.6
580136,22221,CAKE STAND LOVEBIRD 2 TIER PINK,1,01-12-2011 19:42,9.95,17841,United Kingdom,9.95
579106,22726,ALARM CLOCK BAKELIKE GREEN,8,28-11-2011 11:42,3.75,16705,United Kingdom,30
576593,22905,CALENDAR IN SEASON DESIGN,1,15-11-2011 14:48,2.95,15720,United Kingdom,2.95
580047,21967,PACK OF 12 SKULL TISSUES,1,01-12-2011 12:44,0.39,12989,United Kingdom,0.39
580262,23312,VINTAGE CHRISTMAS GIFT SACK,12,02-12-2011 12:42,4.15,16759,United Kingdom,49.8
575932,23205,CHARLOTTE BAG VINTAGE ALPHABET ,4,13-11-2011 10:35,0.85,16923,United Kingdom,3.4
566726,22142,CHRISTMAS CRAFT WHITE FAIRY ,1,14-09-2011 13:12,1.45,15021,United Kingdom,1.45
567066,23256,CHILDRENS CUTLERY SPACEBOY ,4,16-09-2011 12:17,4.15,13418,United Kingdom,16.6
574039,21989,PACK OF 20 SKULL PAPER NAPKINS,8,02-11-2011 12:57,0.85,17800,United Kingdom,6.8
575607,90119,METALIC LEAVES BAG CHARMS,5,10-11-2011 12:37,2.46,14096,United Kingdom,12.3
571892,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,19-10-2011 14:12,9.95,13089,United Kingdom,19.9
573311,23439,HAND WARMER RED LOVE HEART,1,28-10-2011 16:45,2.1,14071,United Kingdom,2.1
569835,23309,SET OF 60 I LOVE LONDON CAKE CASES ,24,06-10-2011 13:05,0.55,15518,United Kingdom,13.2
574707,23583,LUNCH BAG PAISLEY PARK  ,100,06-11-2011 14:08,1.45,17107,United Kingdom,145
573264,23283,DOORMAT VINTAGE LEAF,2,28-10-2011 12:36,8.25,14415,United Kingdom,16.5
569231,22487,WHITE WOOD GARDEN PLANT LADDER,1,02-10-2011 15:18,9.95,13379,United Kingdom,9.95
568094,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,23-09-2011 14:43,1.45,15807,United Kingdom,17.4
580469,22345,PARTY PIZZA DISH BLUE POLKADOT,3,04-12-2011 12:32,0.19,14583,United Kingdom,0.57
581169,21733,RED HANGING HEART T-LIGHT HOLDER,32,07-12-2011 14:54,2.55,16779,United Kingdom,81.6
573772,22630,DOLLY GIRL LUNCH BOX,1,01-11-2011 10:16,1.95,17377,United Kingdom,1.95
567111,82552,WASHROOM METAL SIGN,12,16-09-2011 13:37,1.45,17663,United Kingdom,17.4
574532,22384,LUNCH BAG PINK POLKADOT,10,04-11-2011 14:19,1.65,15676,United Kingdom,16.5
566914,21675,BUTTERFLIES STICKERS,6,15-09-2011 14:08,0.85,15466,United Kingdom,5.1
568164,22602,RETROSPOT WOODEN HEART DECORATION,12,25-09-2011 12:39,0.85,14561,United Kingdom,10.2
571461,23309,SET OF 60 I LOVE LONDON CAKE CASES ,1,17-10-2011 14:12,0.55,16932,United Kingdom,0.55
573369,22470,HEART OF WICKER LARGE,1,30-10-2011 13:19,2.95,16049,United Kingdom,2.95
579531,21914,BLUE HARMONICA IN BOX ,12,30-11-2011 09:18,1.25,17017,United Kingdom,15
568712,23265,SET OF 3 WOODEN TREE DECORATIONS,1,28-09-2011 15:50,1.25,17841,United Kingdom,1.25
574683,22560,TRADITIONAL MODELLING CLAY,2,06-11-2011 12:50,1.25,16372,United Kingdom,2.5
577473,22553,PLASTERS IN TIN SKULLS,2,20-11-2011 11:28,1.65,15919,United Kingdom,3.3
572321,84988,SET OF 72 PINK HEART PAPER DOILIES,12,24-10-2011 08:59,1.45,15592,United Kingdom,17.4
578262,22383,LUNCH BAG SUKI DESIGN ,1,23-11-2011 13:27,1.65,18283,United Kingdom,1.65
565432,22089,PAPER BUNTING VINTAGE PAISLEY,2,04-09-2011 13:16,2.95,16241,United Kingdom,5.9
580727,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,2,05-12-2011 17:17,3.29,14096,United Kingdom,6.58
567165,20781,GOLD EAR MUFF HEADPHONES,1,18-09-2011 11:58,5.49,17841,United Kingdom,5.49
577504,21889,WOODEN BOX OF DOMINOES,2,20-11-2011 12:36,1.25,14159,United Kingdom,2.5
569481,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,04-10-2011 12:43,4.95,15255,United Kingdom,14.85
576071,21390,FILIGRIS HEART WITH BUTTERFLY,2,13-11-2011 16:03,1.25,18069,United Kingdom,2.5
581134,21592,RETROSPOT CIGAR BOX MATCHES ,1,07-12-2011 13:12,0.39,16368,United Kingdom,0.39
573414,23265,SET OF 3 WOODEN TREE DECORATIONS,1,30-10-2011 16:15,1.25,16877,United Kingdom,1.25
567111,23100,SILVER BELLS TABLE DECORATION,12,16-09-2011 13:37,1.25,17663,United Kingdom,15
573564,20694,FLORAL PINK MONSTER,4,31-10-2011 13:58,3.75,16127,United Kingdom,15
566249,22338,STAR DECORATION PAINTED ZINC ,10,11-09-2011 12:09,0.65,13527,United Kingdom,6.5
569524,23101,SILVER STARS TABLE DECORATION,1,04-10-2011 14:42,0.83,14506,United Kingdom,0.83
567661,21207,SKULL AND CROSSBONES  GARLAND ,4,21-09-2011 15:06,1.65,13959,United Kingdom,6.6
578623,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,24-11-2011 15:32,2.55,15953,United Kingdom,81.6
566057,47341B,BLUE TABLE RUN FLOWER,6,08-09-2011 15:16,1.25,17997,United Kingdom,7.5
573032,22043,CHRISTMAS CARD SCREEN PRINT ,12,27-10-2011 13:36,0.19,18211,United Kingdom,2.28
577026,23084,RABBIT NIGHT LIGHT,10,17-11-2011 12:55,2.08,17237,United Kingdom,20.8
575972,23266,SET OF 3 WOODEN STOCKING DECORATION,1,13-11-2011 13:01,1.25,14499,United Kingdom,1.25
570818,23265,SET OF 3 WOODEN TREE DECORATIONS,4,12-10-2011 12:47,1.25,17841,United Kingdom,5
568553,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24,27-09-2011 15:17,0.55,15674,United Kingdom,13.2
573576,22028,PENNY FARTHING BIRTHDAY CARD,2,31-10-2011 14:09,0.83,14096,United Kingdom,1.66
578708,23344,JUMBO BAG 50'S CHRISTMAS ,20,25-11-2011 11:21,2.08,15737,United Kingdom,41.6
576574,22468,BABUSHKA LIGHTS STRING OF 10,24,15-11-2011 13:53,5.95,13078,United Kingdom,142.8
574084,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,15,02-11-2011 17:09,0.29,14528,United Kingdom,4.35
575607,21985,PACK OF 12 HEARTS DESIGN TISSUES ,3,10-11-2011 12:37,0.83,14096,United Kingdom,2.49
575088,23487,SWEET HEART CAKE CARRIER,2,08-11-2011 14:00,9.95,13272,United Kingdom,19.9
578551,85178,VICTORIAN SEWING KIT,4,24-11-2011 15:05,1.25,12937,United Kingdom,5
577074,20755,BLUE PAISLEY POCKET BOOK,12,17-11-2011 15:04,0.85,15399,United Kingdom,10.2
567656,79321,CHILLI LIGHTS,1,21-09-2011 14:40,12.46,14096,United Kingdom,12.46
567630,23393,HOME SWEET HOME CUSHION COVER ,4,21-09-2011 13:24,3.75,15737,United Kingdom,15
568831,22457,NATURAL SLATE HEART CHALKBOARD ,6,29-09-2011 11:35,2.95,16059,United Kingdom,17.7
566236,22699,ROSES REGENCY TEACUP AND SAUCER ,6,11-09-2011 11:19,2.95,16384,United Kingdom,17.7
573152,21977,PACK OF 60 PINK PAISLEY CAKE CASES,4,27-10-2011 20:16,0.55,17530,United Kingdom,2.2
574966,23489,VINTAGE BELLS GARLAND,8,08-11-2011 10:50,2.89,14901,United Kingdom,23.12
577050,22571,ROCKING HORSE RED CHRISTMAS ,12,17-11-2011 13:59,0.85,14191,United Kingdom,10.2
574863,22188,BLACK HEART CARD HOLDER,1,07-11-2011 12:29,3.95,15719,United Kingdom,3.95
566397,20728,LUNCH BAG CARS BLUE,2,12-09-2011 12:54,1.65,17811,United Kingdom,3.3
573381,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,4,30-10-2011 14:05,0.83,17590,United Kingdom,3.32
572932,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,27-10-2011 10:14,0.85,15791,United Kingdom,10.2
576052,22613,PACK OF 20 SPACEBOY NAPKINS,2,13-11-2011 14:48,0.85,15787,United Kingdom,1.7
581471,22816,CARD MOTORBIKE SANTA,12,08-12-2011 19:29,0.42,14702,United Kingdom,5.04
566073,22666,RECIPE BOX PANTRY YELLOW DESIGN,3,08-09-2011 19:58,2.95,14562,United Kingdom,8.85
572666,22492,MINI PAINT SET VINTAGE ,36,25-10-2011 13:03,0.65,15134,United Kingdom,23.4
574678,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,06-11-2011 12:36,2.95,13365,United Kingdom,17.7
574302,22813,PACK 3 BOXES BIRD PANNETONE ,12,03-11-2011 16:28,1.95,13914,United Kingdom,23.4
571926,22331,WOODLAND PARTY BAG + STICKER SET,16,19-10-2011 16:41,1.65,16722,United Kingdom,26.4
566364,84997B,CHILDRENS CUTLERY RETROSPOT RED ,4,12-09-2011 12:32,4.15,15253,United Kingdom,16.6
577090,20724,RED RETROSPOT CHARLOTTE BAG,10,17-11-2011 16:02,0.85,13828,United Kingdom,8.5
578946,22095,LADS ONLY TISSUE BOX,3,27-11-2011 13:47,0.39,16005,United Kingdom,1.17
571057,22795,SWEETHEART RECIPE BOOK STAND,4,13-10-2011 14:13,6.75,15367,United Kingdom,27
568510,22818,CARD CHRISTMAS VILLAGE,48,27-09-2011 12:26,0.42,13555,United Kingdom,20.16
578855,22891,TEA FOR ONE POLKADOT,2,27-11-2011 11:15,4.25,14878,United Kingdom,8.5
570482,20727,LUNCH BAG  BLACK SKULL.,2,10-10-2011 17:00,1.65,17459,United Kingdom,3.3
577728,22386,JUMBO BAG PINK POLKADOT,3,21-11-2011 12:52,2.08,17811,United Kingdom,6.24
573344,22381,TOY TIDY PINK POLKADOT,1,30-10-2011 12:07,2.1,14179,United Kingdom,2.1
579472,22116,METAL SIGN HIS DINNER IS SERVED,1,29-11-2011 15:09,0.79,13521,United Kingdom,0.79
574353,21523,DOORMAT FANCY FONT HOME SWEET HOME,1,04-11-2011 10:46,8.25,14659,United Kingdom,8.25
581163,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,07-12-2011 14:34,2.95,12747,United Kingdom,17.7
573029,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,7,27-10-2011 13:33,0.42,14971,United Kingdom,2.94
574966,23581,JUMBO BAG PAISLEY PARK,2,08-11-2011 10:50,2.08,14901,United Kingdom,4.16
580482,23404,HOME SWEET HOME BLACKBOARD,1,04-12-2011 12:44,4.95,16033,United Kingdom,4.95
574710,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2,06-11-2011 14:17,2.95,15427,United Kingdom,5.9
574047,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,12,02-11-2011 13:26,0.83,13318,United Kingdom,9.96
578511,23553,LANDMARK FRAME CAMDEN TOWN ,2,24-11-2011 13:27,12.5,17975,United Kingdom,25
566923,21467,CHERRY CROCHET FOOD COVER,1,15-09-2011 15:05,3.75,15511,United Kingdom,3.75
569213,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2,02-10-2011 12:11,8.95,13782,United Kingdom,17.9
578262,22952,60 CAKE CASES VINTAGE CHRISTMAS,5,23-11-2011 13:27,0.55,18283,United Kingdom,2.75
580667,84978,HANGING HEART JAR T-LIGHT HOLDER,3,05-12-2011 14:19,1.25,15031,United Kingdom,3.75
573305,22413,METAL SIGN TAKE IT OR LEAVE IT ,12,28-10-2011 16:13,2.95,17837,United Kingdom,35.4
569103,23424,GINGHAM RECIPE BOOK BOX,4,30-09-2011 12:30,4.95,16133,United Kingdom,19.8
581450,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,08-12-2011 17:54,2.95,16794,United Kingdom,2.95
572289,23273,HEART T-LIGHT HOLDER WILLIE WINKIE,2,23-10-2011 12:37,1.65,13782,United Kingdom,3.3
570511,82484,WOOD BLACK BOARD ANT WHITE FINISH,6,11-10-2011 10:24,7.95,14397,United Kingdom,47.7
568882,21231,SWEETHEART CERAMIC TRINKET BOX,12,29-09-2011 12:39,1.25,12839,United Kingdom,15
574832,23493,VINTAGE DOILY TRAVEL SEWING KIT,20,07-11-2011 11:29,1.95,17183,United Kingdom,39
578928,85231B,CINAMMON SET OF 9 T-LIGHTS,3,27-11-2011 12:29,0.85,15443,United Kingdom,2.55
568715,22185,SLATE TILE NATURAL HANGING,1,28-09-2011 16:07,1.65,17783,United Kingdom,1.65
578302,23681,LUNCH BAG RED VINTAGE DOILY,10,23-11-2011 15:23,1.65,16057,United Kingdom,16.5
574673,23503,PLAYING CARDS KEEP CALM & CARRY ON,1,06-11-2011 12:26,1.25,15555,United Kingdom,1.25
580116,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,89,01-12-2011 16:28,0.85,15290,United Kingdom,75.65
576567,16237,SLEEPING CAT ERASERS,8,15-11-2011 13:41,0.21,17220,United Kingdom,1.68
570333,23330,DECORATIVE WICKER HEART MEDIUM,1,10-10-2011 12:19,1.25,18126,United Kingdom,1.25
576081,23204,CHARLOTTE BAG APPLES DESIGN,10,14-11-2011 08:16,0.85,15203,United Kingdom,8.5
574901,23026,DRAWER KNOB VINTAGE GLASS STAR,6,07-11-2011 15:15,2.08,17158,United Kingdom,12.48
580687,84879,ASSORTED COLOUR BIRD ORNAMENT,24,05-12-2011 15:38,1.69,16379,United Kingdom,40.56
569236,22094,RED RETROSPOT TISSUE BOX,6,02-10-2011 15:49,0.39,14432,United Kingdom,2.34
566202,46776E,WOVEN CANDY CUSHION COVER ,2,09-09-2011 14:22,4.95,15652,United Kingdom,9.9
571433,23234,BISCUIT TIN VINTAGE CHRISTMAS,6,17-10-2011 13:19,2.89,13015,United Kingdom,17.34
569230,23234,BISCUIT TIN VINTAGE CHRISTMAS,1,02-10-2011 15:07,2.89,16533,United Kingdom,2.89
580149,47590A,BLUE HAPPY BIRTHDAY BUNTING,1,02-12-2011 10:15,5.45,12748,United Kingdom,5.45
573576,21039,RED RETROSPOT SHOPPING BAG,2,31-10-2011 14:09,5.79,14096,United Kingdom,11.58
577108,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,12,17-11-2011 17:34,2.55,15983,United Kingdom,30.6
570333,35819P,"ACRYLIC HANGING JEWEL,PINK",6,10-10-2011 12:19,0.38,18126,United Kingdom,2.28
566443,22355,CHARLOTTE BAG SUKI DESIGN,10,12-09-2011 15:31,0.85,17071,United Kingdom,8.5
580675,22834,HAND WARMER BABUSHKA DESIGN,12,05-12-2011 14:35,2.1,15640,United Kingdom,25.2
575932,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,15,13-11-2011 10:35,0.29,16923,United Kingdom,4.35
569853,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,06-10-2011 14:18,0.55,13771,United Kingdom,13.2
578702,20719,WOODLAND CHARLOTTE BAG,10,25-11-2011 10:58,0.85,15382,United Kingdom,8.5
577535,20713,JUMBO BAG OWLS,1,20-11-2011 14:07,2.08,14071,United Kingdom,2.08
574726,22175,PINK OWL SOFT TOY,2,06-11-2011 14:56,2.95,14664,United Kingdom,5.9
578551,23378,PACK OF 12 50'S CHRISTMAS TISSUES,12,24-11-2011 15:05,0.39,12937,United Kingdom,4.68
575929,23461,SWEETHEART BIRD HOUSE,4,11-11-2011 17:23,4.15,13310,United Kingdom,16.6
576228,23505,PLAYING CARDS I LOVE LONDON ,2,14-11-2011 13:12,1.25,15033,United Kingdom,2.5
570863,22728,ALARM CLOCK BAKELIKE PINK,8,12-10-2011 15:39,3.75,15144,United Kingdom,30
568882,20985,HEART CALCULATOR,12,29-09-2011 12:39,1.25,12839,United Kingdom,15
568193,21479,WHITE SKULL HOT WATER BOTTLE ,2,25-09-2011 14:37,4.25,17107,United Kingdom,8.5
566262,22561,WOODEN SCHOOL COLOURING SET,12,11-09-2011 12:56,1.65,15527,United Kingdom,19.8
569252,23071,MARIE ANTOINETTE TRINKET BOX GOLD,4,03-10-2011 10:38,12.5,14333,United Kingdom,50
565918,21794,CLASSIC FRENCH STYLE BASKET NATURAL,2,07-09-2011 16:27,3.95,13249,United Kingdom,7.9
576599,35961,FOLKART ZINC HEART CHRISTMAS DEC,12,15-11-2011 15:06,0.85,14544,United Kingdom,10.2
573808,22696,WICKER WREATH LARGE,1,01-11-2011 11:29,1.95,14419,United Kingdom,1.95
575258,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,1,09-11-2011 12:00,3.75,13623,United Kingdom,3.75
573904,23555,LANDMARK FRAME NOTTING HILL ,1,01-11-2011 14:54,12.5,14505,United Kingdom,12.5
569919,22966,GINGERBREAD MAN COOKIE CUTTER,12,06-10-2011 17:08,1.25,15300,United Kingdom,15
569367,23396,LE JARDIN BOTANIQUE CUSHION COVER,2,03-10-2011 15:28,3.75,13994,United Kingdom,7.5
572194,85036C,ROSE 1 WICK MORRIS BOXED CANDLE,1,21-10-2011 11:43,1.25,17832,United Kingdom,1.25
573359,22130,PARTY CONE CHRISTMAS DECORATION ,6,30-10-2011 12:48,0.85,14178,United Kingdom,5.1
571712,20726,LUNCH BAG WOODLAND,3,18-10-2011 16:46,1.65,14056,United Kingdom,4.95
576463,16048,TEATIME ROUND PENCIL SHARPENER ,2,15-11-2011 11:37,0.12,17974,United Kingdom,0.24
567881,22089,PAPER BUNTING VINTAGE PAISLEY,12,22-09-2011 14:59,2.95,15640,United Kingdom,35.4
581059,23290,SPACEBOY CHILDRENS BOWL,8,07-12-2011 11:12,1.25,13267,United Kingdom,10
578998,84992,72 SWEETHEART FAIRY CAKE CASES,1,27-11-2011 16:05,0.55,15436,United Kingdom,0.55
566063,35970,ZINC FOLKART SLEIGH BELLS,12,08-09-2011 15:41,1.69,16011,United Kingdom,20.28
566607,47566,PARTY BUNTING,3,13-09-2011 16:40,4.95,13032,United Kingdom,14.85
578068,23193,BUFFALO BILL TREASURE BOOK BOX,2,22-11-2011 15:45,2.25,14505,United Kingdom,4.5
577544,23504,PLAYING CARDS JUBILEE UNION JACK,4,20-11-2011 14:43,1.25,17758,United Kingdom,5
571671,20728,LUNCH BAG CARS BLUE,6,18-10-2011 13:15,1.65,16940,United Kingdom,9.9
577058,22338,STAR DECORATION PAINTED ZINC ,6,17-11-2011 14:29,0.19,18122,United Kingdom,1.14
574657,23188,VINTAGE  2 METRE FOLDING RULER,4,06-11-2011 11:43,1.65,13772,United Kingdom,6.6
573381,23110,PARISIENNE KEY CABINET ,2,30-10-2011 14:05,5.75,17590,United Kingdom,11.5
580875,22408,MONEY BOX CONFECTIONERY DESIGN,12,06-12-2011 12:11,0.39,17744,United Kingdom,4.68
567894,22178,VICTORIAN GLASS HANGING T-LIGHT,24,22-09-2011 15:54,1.95,16389,United Kingdom,46.8
567798,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,1,22-09-2011 12:00,14.95,13089,United Kingdom,14.95
569037,21166,COOK WITH WINE METAL SIGN ,3,30-09-2011 10:45,2.08,13263,United Kingdom,6.24
568193,23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,8,25-09-2011 14:37,0.39,17107,United Kingdom,3.12
568831,23321,SMALL WHITE HEART OF WICKER,4,29-09-2011 11:35,1.65,16059,United Kingdom,6.6
578531,22834,HAND WARMER BABUSHKA DESIGN,1,24-11-2011 14:40,2.1,17364,United Kingdom,2.1
565366,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,4,02-09-2011 14:56,4.15,17091,United Kingdom,16.6
580523,22798,ANTIQUE GLASS DRESSING TABLE POT,4,04-12-2011 15:00,2.95,17827,United Kingdom,11.8
578701,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,25-11-2011 10:52,4.25,17624,United Kingdom,17
580727,85049E,SCANDINAVIAN REDS RIBBONS,10,05-12-2011 17:17,2.46,14096,United Kingdom,24.6
572865,21439,BASKET OF TOADSTOOLS,1,26-10-2011 13:01,1.25,17841,United Kingdom,1.25
581383,35967,FOLK ART METAL STAR T-LIGHT HOLDER,12,08-12-2011 13:04,0.39,15399,United Kingdom,4.68
578270,84375,SET OF 20 KIDS COOKIE CUTTERS,4,23-11-2011 13:39,4.13,14096,United Kingdom,16.52
567338,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,19-09-2011 15:00,0.85,14146,United Kingdom,10.2
573140,23198,PANTRY MAGNETIC  SHOPPING LIST,12,27-10-2011 17:34,1.45,15955,United Kingdom,17.4
576779,22993,SET OF 4 PANTRY JELLY MOULDS,12,16-11-2011 13:25,1.25,14554,United Kingdom,15
577597,22423,REGENCY CAKESTAND 3 TIER,2,21-11-2011 08:19,12.75,16366,United Kingdom,25.5
580883,15030,FAN BLACK FRAME ,2,06-12-2011 12:21,0.29,16979,United Kingdom,0.58
575681,22197,POPCORN HOLDER,10,10-11-2011 15:32,0.85,16903,United Kingdom,8.5
577365,23292,SPACEBOY CHILDRENS CUP,8,18-11-2011 16:19,1.25,17063,United Kingdom,10
567474,22191,IVORY DINER WALL CLOCK,2,20-09-2011 12:53,8.5,13448,United Kingdom,17
565728,22437,SET OF 9 BLACK SKULL BALLOONS,20,06-09-2011 12:00,0.85,17716,United Kingdom,17
